metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches,abs_z,neglog10_p,group_id,rank_abs_z_in_group
def_linegap_std,-5.327406995510621e-05,3.394008355669049e-05,-1.569650524463853,0.1164964373398667,474,defense,hold,opp,D,Not significant,2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,1.569650524463853,0.9336873559022989,defense|hold|opp,6.0
shot_saved_def,1.7886112074291733e-05,3.6427928402815565e-05,0.4909999788214498,0.623426462530545,472,defense,hold,opp,D,Not significant,2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,0.4909999788214498,0.20521476720663132,defense|hold|opp,7.0
def_gain_dist,0.0001918917655024,1.0179707630324186e-07,1885.0420117259507,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064,0.1697453935400831,0.1356345999010108,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237,1885.0420117259507,300.0,defense|hold|self,1.0
def_suc_pos_line_box,-5.867987585267513e-05,5.909534625354578e-07,-99.29694903708985,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064,0.1697453935400831,0.1356345999010108,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237,99.29694903708985,300.0,defense|hold|self,2.0
def_miss_pos_line,0.0004426591173134,2.5834336039276944e-05,17.13452657116657,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064,0.1697453935400831,0.1356345999010108,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237,17.13452657116657,300.0,defense|hold|self,3.0
def_suc,1.0332183163276085e-06,8.348125512469806e-08,12.376650480209769,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064,0.1697453935400831,0.1356345999010108,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237,12.376650480209769,300.0,defense|hold|self,4.0
seq_def_num,-0.0008532818221292,7.4345859179523e-05,-11.477193639915786,0.0,474,defense,hold,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0006652636116064,0.1697453935400831,0.1356345999010108,0.520310003440944,2276053.5440454427,-4545471.088090885,-4524883.18530985,4801.800725834268,-9589.601451668535,-9546.167057615716,237,11.477193639915786,300.0,defense|hold|self,5.0
shot_offpost_def,-0.0385866459691697,2.4253518475188653e-07,-159097.1058844263,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,159097.1058844263,300.0,defense|xG|opp,1.0
def_gap_std,4.139294838525189e-05,6.993208049106017e-08,591.9021441174398,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,591.9021441174398,300.0,defense|xG|opp,2.0
def_gap_mean,1.1100169029183538e-06,6.437831247149684e-08,17.242093809305857,0.0,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,17.242093809305857,300.0,defense|xG|opp,3.0
